                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.85176,                 0.6586,                 1.2508,                  0.919,                0.86684,                0.94425,                 0.7993,                0.65034,                0.61051,                 1.0624,             0.00059413,             0.00059413,             0.00059413
                     56,                0.93667,                0.69322,                 1.3443,                0.85702,                0.86283,                0.92589,                0.78295,                0.64312,                0.61504,                 1.0807,             0.00058175,             0.00058175,             0.00058175
                     57,                0.84427,                0.57481,                 1.2055,                0.88093,                0.89901,                  0.947,                0.81918,                0.59085,                0.59353,                  1.047,             0.00056938,             0.00056938,             0.00056938
                     58,                0.84166,                0.59158,                 1.1862,                0.86028,                  0.913,                0.92133,                0.79416,                0.62025,                0.60791,                 1.0529,               0.000557,               0.000557,               0.000557
                     59,                0.82459,                0.58377,                  1.188,                0.85994,                0.94202,                0.94071,                0.81737,                0.56114,                0.60223,                 1.0281,             0.00054463,             0.00054463,             0.00054463
                     60,                0.84021,                0.58431,                  1.193,                0.85323,                0.99068,                0.96162,                0.82486,                0.63696,                0.55151,                 1.0695,             0.00053225,             0.00053225,             0.00053225
                     61,                0.80465,                0.57405,                 1.1632,                0.87801,                0.93609,                 0.9737,                0.83937,                0.58214,                0.47376,                 1.0405,             0.00051988,             0.00051988,             0.00051988
                     62,                0.79421,                0.58145,                  1.186,                0.84682,                0.93227,                0.96444,                0.84975,                0.58178,                0.50832,                 1.0362,              0.0005075,              0.0005075,              0.0005075
                     63,                0.80474,                0.55337,                 1.1598,                   0.86,                0.88201,                0.95536,                0.83513,                0.57105,                0.64304,                 1.0292,             0.00049513,             0.00049513,             0.00049513
                     64,                0.80182,                 0.5423,                 1.1623,                0.77818,                0.87401,                0.91437,                0.76689,                0.58603,                  0.878,                 1.0558,             0.00048275,             0.00048275,             0.00048275
                     65,                0.77402,                0.56882,                 1.1966,                 0.8961,                 0.8659,                0.96881,                0.83339,                0.57177,                0.63648,                 1.0473,             0.00047038,             0.00047038,             0.00047038
                     66,                 0.7632,                0.53596,                  1.158,                 0.9712,                0.88829,                 0.9691,                0.82019,                  0.598,                0.52703,                 1.0634,               0.000458,               0.000458,               0.000458
