                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.80182,                0.59121,                 1.1267,                0.90427,                0.91487,                0.97382,                0.79076,                0.74263,                0.51548,                 1.1333,             0.00071788,             0.00071788,             0.00071788
                     46,                0.78718,                0.55543,                 1.0943,                0.87713,                0.98012,                0.97988,                0.79214,                0.69403,                0.50447,                  1.102,              0.0007055,              0.0007055,              0.0007055
                     47,                0.76465,                0.51593,                 1.0991,                0.87666,                0.97839,                0.98366,                0.82216,                0.65916,                0.50578,                  1.078,             0.00069313,             0.00069313,             0.00069313
                     48,                0.83081,                 0.5734,                 1.1669,                0.96147,                0.91539,                0.98676,                 0.8587,                0.55253,                0.48268,                 1.0154,             0.00068075,             0.00068075,             0.00068075
                     49,                0.81442,                0.52624,                 1.1595,                0.98935,                  0.953,                0.99063,                0.89073,                0.52263,                0.38155,                0.99654,             0.00066838,             0.00066838,             0.00066838
                     50,                  0.732,                0.51551,                 1.0653,                0.97954,                0.83605,                0.97434,                0.84585,                0.63673,                0.52207,                 1.0608,               0.000656,               0.000656,               0.000656
                     51,                0.78943,                0.53061,                 1.0957,                0.97609,                 0.8249,                0.97089,                0.86071,                0.52058,                0.53284,                0.99753,             0.00064362,             0.00064362,             0.00064362
                     52,                0.83002,                0.55972,                 1.1992,                0.94403,                0.93413,                0.98649,                0.86168,                0.54352,                0.42706,                 1.0018,             0.00063125,             0.00063125,             0.00063125
                     53,                0.72308,                0.50188,                  1.114,                0.96078,                0.96143,                  0.995,                0.88838,                0.50937,                0.39427,                0.99588,             0.00061887,             0.00061887,             0.00061887
                     54,                0.84574,                0.66079,                 1.2598,                0.96796,                0.91173,                0.98354,                0.87035,                0.60049,                 0.4464,                 1.0324,              0.0006065,              0.0006065,              0.0006065
                     55,                0.74908,                0.49159,                 1.1486,                0.95031,                0.93535,                0.98292,                0.86693,                0.55884,                0.41598,                 1.0261,             0.00059413,             0.00059413,             0.00059413
                     56,                0.80562,                0.65878,                 1.1864,                 0.9731,                0.91496,                0.98735,                0.87533,                0.53091,                0.42154,                 1.0031,             0.00058175,             0.00058175,             0.00058175
                     57,                0.73405,                 0.4948,                 1.0939,                0.92996,                0.90453,                0.97717,                0.86585,                0.54736,                0.44817,                 1.0072,             0.00056938,             0.00056938,             0.00056938
                     58,                0.69711,                0.49334,                  1.051,                0.96882,                0.89688,                0.98943,                0.86719,                0.60094,                0.45023,                 1.0298,               0.000557,               0.000557,               0.000557
                     59,                0.70122,                  0.478,                 1.0955,                0.95201,                0.92744,                0.99213,                0.88468,                0.51436,                0.41895,                0.99365,             0.00054463,             0.00054463,             0.00054463
                     60,                0.73307,                0.50781,                 1.0636,                0.86661,                0.97538,                0.97697,                0.87626,                0.50781,                0.41208,                 1.0022,             0.00053225,             0.00053225,             0.00053225
                     61,                 0.6957,                0.47833,                 1.0713,                0.91125,                0.96849,                0.98261,                0.85816,                0.55294,                0.39594,                 1.0476,             0.00051988,             0.00051988,             0.00051988
                     62,                0.68488,                0.46939,                 1.0942,                0.94354,                0.95094,                0.98402,                0.88263,                0.51345,                0.40297,                0.99781,              0.0005075,              0.0005075,              0.0005075
                     63,                0.67889,                0.46942,                 1.0475,                0.93279,                0.95416,                0.98432,                0.88687,                0.48241,                0.41617,                0.98642,             0.00049513,             0.00049513,             0.00049513
                     64,                0.70107,                 0.4623,                 1.0661,                0.94491,                0.87857,                  0.966,                0.86501,                0.50793,                0.43131,                 1.0039,             0.00048275,             0.00048275,             0.00048275
                     65,                0.69284,                0.48932,                 1.1081,                0.90236,                0.92006,                0.96515,                0.87702,                  0.486,                0.48113,                0.99123,             0.00047038,             0.00047038,             0.00047038
                     66,                0.67948,                0.45855,                 1.0598,                0.87462,                0.95773,                0.97038,                0.87127,                0.48789,                0.45107,                0.98393,               0.000458,               0.000458,               0.000458
                     67,                0.66727,                0.43703,                 1.0459,                0.84367,                 0.9833,                0.97263,                0.86718,                 0.5169,                0.43544,                0.99039,             0.00044563,             0.00044563,             0.00044563
                     68,                0.68447,                0.50421,                 1.0544,                0.92009,                0.98067,                0.99199,                0.90212,                 0.4561,                0.37045,                0.95258,             0.00043325,             0.00043325,             0.00043325
                     69,                0.68117,                 0.4631,                  1.065,                0.91427,                0.99508,                0.99074,                0.91314,                0.44916,                0.35986,                0.95457,             0.00042087,             0.00042087,             0.00042087
