                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.71027,                0.63224,                0.99789,                0.83249,                0.97053,                0.96292,                0.82583,                0.61306,                0.62808,                 0.9336,             0.00068075,             0.00068075,             0.00068075
                     49,                0.66729,                0.59148,                0.97414,                0.90553,                0.93477,                0.95274,                0.83461,                0.55092,                  0.609,                0.90994,             0.00066838,             0.00066838,             0.00066838
                     50,                0.67808,                0.57296,                0.97095,                0.80599,                0.94237,                0.93569,                0.79818,                0.63239,                0.68627,                0.95125,               0.000656,               0.000656,               0.000656
                     51,                0.72164,                 0.5813,                 0.9849,                0.86744,                0.89989,                0.94911,                0.86012,                0.48481,                0.64432,                0.90106,             0.00064362,             0.00064362,             0.00064362
                     52,                0.73911,                0.61972,                  1.019,                0.92121,                0.94722,                0.97265,                0.88699,                0.47732,                0.52054,                0.88628,             0.00063125,             0.00063125,             0.00063125
                     53,                0.69775,                0.59789,                0.99927,                0.92608,                0.91209,                0.97052,                0.84716,                0.53594,                0.51064,                0.91952,             0.00061887,             0.00061887,             0.00061887
                     54,                 0.7882,                0.58359,                 1.0685,                0.93598,                 0.9125,                0.96679,                0.84577,                0.59951,                0.55841,                0.94841,              0.0006065,              0.0006065,              0.0006065
                     55,                0.65711,                0.55213,                0.96405,                0.94139,                 0.9297,                0.99154,                0.90105,                0.45977,                0.48898,                0.88625,             0.00059413,             0.00059413,             0.00059413
                     56,                0.75925,                0.75736,                 1.1121,                0.96961,                0.83531,                0.97817,                0.91783,                0.38919,                0.54114,                0.86752,             0.00058175,             0.00058175,             0.00058175
                     57,                0.65869,                0.52987,                0.94962,                0.85824,                0.96429,                0.98722,                0.90311,                0.44076,                0.50464,                0.88066,             0.00056938,             0.00056938,             0.00056938
                     58,                0.62777,                 0.5556,                0.95539,                0.94294,                0.93094,                0.98694,                0.90486,                0.44605,                0.47111,                0.87978,               0.000557,               0.000557,               0.000557
                     59,                0.67183,                0.54857,                0.96819,                 0.9422,                0.92846,                 0.9944,                0.91273,                0.47575,                 0.4606,                0.89239,             0.00054463,             0.00054463,             0.00054463
                     60,                0.68004,                0.55729,                0.97707,                0.92483,                0.90564,                0.98028,                0.91753,                0.43473,                0.56491,                0.88604,             0.00053225,             0.00053225,             0.00053225
                     61,                0.62058,                0.51385,                0.94185,                0.87487,                   0.95,                0.97787,                0.89348,                0.44459,                 0.5354,                0.88584,             0.00051988,             0.00051988,             0.00051988
                     62,                0.83276,                0.67039,                 1.0841,                 0.9533,                0.94718,                0.98298,                0.89669,                0.47795,                0.43255,                0.90583,              0.0005075,              0.0005075,              0.0005075
                     63,                0.59364,                0.53708,                0.94367,                 0.9598,                0.95972,                0.97886,                0.90707,                0.42844,                0.43041,                0.88288,             0.00049513,             0.00049513,             0.00049513
                     64,                0.61288,                0.49993,                0.94851,                 0.9591,                 0.9274,                0.99225,                0.92883,                 0.4373,                0.43582,                0.87891,             0.00048275,             0.00048275,             0.00048275
                     65,                0.61602,                0.53741,                0.98077,                0.94791,                0.98079,                0.99063,                 0.9136,                0.44813,                0.41734,                0.88126,             0.00047038,             0.00047038,             0.00047038
                     66,                0.59804,                0.48842,                0.95763,                0.96114,                0.96807,                0.98998,                0.91815,                0.43191,                0.38069,                0.87752,               0.000458,               0.000458,               0.000458
                     67,                0.59597,                0.49165,                0.94239,                0.96103,                0.95827,                0.99273,                0.90891,                0.44452,                0.39736,                0.89113,             0.00044563,             0.00044563,             0.00044563
                     68,                0.63669,                  0.514,                0.95817,                0.93859,                  0.975,                0.99083,                0.88336,                 0.4855,                0.40923,                0.90923,             0.00043325,             0.00043325,             0.00043325
                     69,                0.60376,                0.49092,                 0.9592,                0.93248,                0.95113,                0.98118,                0.87614,                0.50771,                0.42931,                0.91117,             0.00042087,             0.00042087,             0.00042087
                     70,                0.57098,                0.55209,                0.94473,                0.90417,                0.96852,                0.99273,                 0.8702,                 0.5578,                0.44544,                0.93246,              0.0004085,              0.0004085,              0.0004085
                     71,                0.58663,                0.51451,                0.96511,                 0.9346,                0.94708,                  0.995,                0.88579,                 0.5298,                0.41381,                 0.9271,             0.00039613,             0.00039613,             0.00039613
                     72,                0.59045,                0.47965,                0.95153,                0.98461,                      1,                  0.995,                0.89143,                0.52406,                0.37209,                0.94801,             0.00038375,             0.00038375,             0.00038375
                     73,                0.57264,                0.48967,                0.94847,                0.96591,                0.98295,                0.99225,                0.87137,                0.58435,                 0.3776,                0.96923,             0.00037138,             0.00037138,             0.00037138
                     74,                0.72578,                0.54137,                 1.0826,                0.96399,                  0.975,                0.98998,                0.90518,                0.47452,                0.38306,                0.91612,               0.000359,               0.000359,               0.000359
                     75,                0.56599,                0.46233,                0.93378,                0.96221,                0.97377,                0.99273,                 0.9389,                0.41276,                0.37171,                0.87641,             0.00034663,             0.00034663,             0.00034663
                     76,                0.60146,                0.49006,                0.96711,                0.95848,                0.97671,                  0.995,                0.95605,                0.37922,                0.34835,                0.85838,             0.00033425,             0.00033425,             0.00033425
                     77,                 0.5191,                0.42574,                 0.9168,                0.92082,                      1,                  0.995,                0.92562,                0.39013,                0.34903,                 0.8594,             0.00032188,             0.00032188,             0.00032188
                     78,                0.53568,                0.43215,                0.91241,                0.92285,                0.99188,                0.99063,                0.92507,                0.41402,                 0.3697,                0.86723,              0.0003095,              0.0003095,              0.0003095
                     79,                0.59895,                0.59316,                0.97293,                0.91725,                 0.9907,                0.99063,                0.90405,                0.42691,                0.39207,                0.87032,             0.00029713,             0.00029713,             0.00029713
